,city_cld,city_hum,city_lat,city_temp,city_wnd
san ignacio,90,100,-36.8,50,8.05
aviles,90,88,43.55,66.2,12.75
burnie,0,100,-41.05,51.81,22.84
aleppo,0,91,36.2,71.61,11.77
dikson,32,82,73.51,47.31,19.6
punta arenas,90,100,-53.16,33.8,3.36
saldanha,8,54,41.42,60.81,6.17
vaini,92,99,15.34,69.72,9.19
mataura,100,82,-46.19,44.25,3.94
hermanus,68,98,-34.42,43.35,8.19
huarmey,0,89,-10.07,53.7,3.71
faanui,0,100,-16.48,80.11,12.77
olean,1,94,42.08,69.37,3.36
ormara,32,91,25.21,81.06,7.63
rikitea,56,98,-23.12,75.61,4.16
lahaina,40,58,20.87,81.07,14.99
port blair,80,100,11.67,81.87,26.87
chapais,75,82,49.78,64.4,3.36
san patricio,0,81,-26.98,43.8,2.93
port alfred,0,91,-33.59,56.76,15.79
sur,80,79,22.57,87.04,6.4
upernavik,92,87,72.79,41.86,32.79
panzhihua,76,68,26.59,73.27,2.15
bluff,80,22,-23.58,68.73,12.21
ushuaia,90,100,-54.81,32,11.41
tuktoyaktuk,90,81,69.44,44.6,6.93
chicama,90,88,-7.84,62.6,8.05
cape town,75,81,-33.93,48.2,3.36
barrow,88,50,-38.31,60.27,18.7
new norfolk,20,46,-42.78,53.6,17.22
karakol,32,51,42.49,65.67,3.04
gat,8,96,14.69,72.24,6.51
ornskoldsvik,0,93,63.29,48.2,8.05
sisimiut,76,92,66.94,43.12,1.59
chokurdakh,0,91,70.62,43.35,9.19
busselton,8,96,-33.64,62.16,15.79
khatanga,8,97,71.98,51,9.64
struthers,1,100,41.06,74.05,3.36
puerto ayora,88,100,-0.74,69.9,13.33
yellowknife,90,82,62.45,64.4,3.36
suruc,0,64,36.98,73.4,6.93
avarua,75,83,-21.21,78.8,19.46
portland,75,45,45.52,81.68,11.41
hobart,20,46,-42.88,53.6,17.22
carnarvon,36,94,-30.97,31.38,11.1
mehamn,75,76,71.03,48.2,21.92
benicarlo,0,99,40.42,81.33,7.4
lebu,75,100,8.96,55.4,2.24
kapaa,90,78,22.08,83.52,16.11
petropavlovsk-kamchatskiy,40,72,53.05,68,13.42
torbay,90,93,47.66,57.2,8.05
bredasdorp,56,81,-34.53,44.6,10.29
iqaluit,90,100,63.75,42.8,5.82
banda aceh,0,66,5.56,85.06,6.29
vardo,1,78,39.62,76.21,4.7
mikhaylovka,92,100,52.96,52.8,4.16
chuy,0,92,-33.69,49.02,11.99
luderitz,0,89,-26.65,49.38,7.18
albany,20,65,42.65,75.99,4.7
porsa,20,71,58.24,57.2,6.93
mount gambier,92,84,-37.83,51.22,8.52
ponta do sol,68,95,-20.63,57.84,2.93
terrace bay,68,83,48.78,54.6,6.85
constitucion,90,68,23.99,66.2,5.82
nador,0,68,35.17,73.72,2.24
marienburg,0,63,52.12,63.07,6.93
brae,88,82,60.4,55.4,12.75
tasiilaq,68,80,65.61,41,6.93
tuatapere,44,87,-46.13,52.84,17.36
napanee,20,94,44.25,72.54,4.7
vila franca do campo,75,68,37.72,69.8,5.82
kalabo,0,56,-15,53.07,4.61
vila velha,40,83,-3.71,78.8,11.41
bambous virieux,75,53,-20.34,71.6,11.41
kutum,44,96,14.2,62.88,3.71
bethel,90,93,60.79,57.2,10.29
gornopravdinsk,32,88,60.06,63.33,10.2
dawlatabad,0,36,36.41,81.87,6.17
